,spotify_id,youtube_id,project_name,artist,project_type,tracks,project_art,year,rating
107,0r36d6LGncXSNy3OrUfGtX,Cy_FBsloKIk,special affections,diamond rings,album,10.0,https://i.scdn.co/image/ab67616d00004851418883ea1d1ab0668276d9cf,2010.0,8.0
108,7zJOyZ9X6Vs4SZASz4uOkY,NouYDsQHC3Q,glitter,no age,track,3.0,https://i.scdn.co/image/ab67616d000048511952b442c0319eadee1de3b2,2010.0,7.0
109,38NEzyo2N5T68j7aFetd4x,Om8Nh5Zw5jc,crazy for you,best coast,album,13.0,https://i.scdn.co/image/ab67616d0000485189c9a7f3a6bc44728caf0273,2010.0,5.0
110,0QZIMRFiqQFoNbznS5enkn,A38cOUWdK9k,wild smile,suckers,album,11.0,https://i.scdn.co/image/ab67616d000048518969e7e7f6611233634b0e90,2010.0,7.0
111,4hLaGwADWrRUjgEmCkOaYp,OElyc_yZU54,portal of sorrow,xasthur,album,14.0,https://i.scdn.co/image/ab67616d000048515b45590f8d025ed6208d3972,2010.0,4.0
112,3UA6p4FQsgOhJpkCDdy0na,eqmp86d17fM,summit,thou,album,5.0,https://i.scdn.co/image/ab67616d000048519d7dae6c45b53d60f7175363,2010.0,7.0
113,3pfNU5FIwyvTjtxxtQXK9l,cUXCNgJSmzU,self-titled,the drums,album,12.0,https://i.scdn.co/image/ab67616d00004851e707737e51a877d351012c1e,2010.0,8.0
114,6z0h5LpwfydBJBPweJvPIq,edXP5f4CFT8,first four eps,off!,album,18.0,https://i.scdn.co/image/ab67616d000048510580f0711bc8d0a1de273579,2010.0,8.0
115,3fgVI8c5sKG2TUW9oxQl5x,pzsUK9Iq4DU,the bride screamed murder,melvins,album,9.0,https://i.scdn.co/image/ab67616d000048516dfcf78256b3194b50a0af11,2010.0,5.0
116,0dtwAdxFXGQ7UGa9Aykyj3,WAX0VFfGQDo,paramatma,mono/poly,album,19.0,https://i.scdn.co/image/ab67616d0000485159ff99def1b78b6017560023,2010.0,6.0
117,3Jeig0XsUgdqIUMpFLaeUD,_NHyY22Nx4U,"""flash delirium""",mgmt,track,1.0,https://i.scdn.co/image/ab67616d000048518dd2e8364f0c244eb7d171f3,2010.0,7.0
118,45YGCEh09Ji6rdHjPgNdw8,ncrpTX6jR5w,at echo lake,woods,album,11.0,https://i.scdn.co/image/ab67616d0000485160a4854e09718efa24ca0db3,2010.0,8.0
119,5DCRqgGT7WPOfWkXgjI2aD,rUrhOERq7mE,memories,weezer,track,3.0,https://i.scdn.co/image/ab67616d00004851899f776ef4342aed1020f346,2014.0,7.0
120,6ttLfw2Z9Wbxu3paarz6h0,BNBfo24nEE8,down there,avey tare,album,9.0,https://i.scdn.co/image/ab67616d00004851d0c12ea879eca35fbcd0f77b,2010.0,5.0
121,5SlR6UA8OL06x7P9Bj0G7X,nQe_rTrxGyA,shit computer,kids & explosions,album,102.0,https://i.scdn.co/image/ab67616d00004851cec386e002fbaeeaf7fe3b1a,2016.0,8.0
122,4wGhy77LCdzpd7bdUiwQFN,JIOuOK7sUV8,the budos band iii,the budos band,album,11.0,https://i.scdn.co/image/ab67616d00004851257593e7aac50f7c0f6e20d5,2010.0,5.0
123,1IWkF6zpOq73txmrYpljIT,1aJXrwCX20U,treats,sleigh bells,album,11.0,https://i.scdn.co/image/ab67616d00004851bea1032f5deb40192525a60e,2010.0,3.0
124,3Ax3inYpZtVJulh5mu5ENs,DxDiyg9IMKU,hippies,harlem,album,16.0,https://i.scdn.co/image/ab67616d00004851ef94126bf909a7a8b2249160,2010.0,7.0
125,4sW8Eql2e2kdRP1A1R1clG,X2xEj8wiS88,lights,interpol,track,11.0,https://i.scdn.co/image/ab67616d0000485114f8df9fb9c2d3056a994390,2002.0,5.0
126,2IxMrwvGYxeKe0EXjkQbYs,WnoLpkdUDng,cloud cuckooland,various artists,album,1.0,https://i.scdn.co/image/ab67616d000048511128bd4f2afa3db85e76e3f6,2022.0,7.0
127,4YM04MdeuE7h3mziHsvy9v,Oblv8bB5ZLQ,face tat,zach hill,album,13.0,https://i.scdn.co/image/ab67616d00004851432d216d5e051c71267280f0,2010.0,5.0
128,5hzEg6FhiOIXHufj0EithW,5xIQCY__HQ0,forgiveness rock record,broken social scene,album,14.0,https://i.scdn.co/image/ab67616d00004851dcdd9b080be999b746891921,2010.0,4.0
129,3UM1oAihPWsJHWJlFpFA6r,DokfQZFDxek,a sufi and a killer,gonjasufi,album,16.0,https://i.scdn.co/image/ab67616d00004851ac997df9516a529db62c4c0b,2017.0,9.0
130,2ZQedN95ddF8NpF2t7DGhn,KJUXbD0MlHU,album of the year,black milk,album,12.0,https://i.scdn.co/image/ab67616d0000485164df700af377ac6ee31fa2fa,2010.0,4.0
131,0oFIuYGhwfe3edv5TgowbT,oL-_u9IKQfc,patagonian rats,tera melos,album,12.0,https://i.scdn.co/image/ab67616d000048510e0f3aabec8a86a5c0456760,2010.0,5.0
132,0elL1cbQgaMrQHpfoHa8pI,LEuxWZ_0zwc,oj simpson,guilty simpson,album,24.0,https://i.scdn.co/image/ab67616d00004851eae11b0a0a74b3c02322c778,2010.0,6.0
133,2e2UUeLy9wGgZByfYTSUek,iJ5o99-MO7I,trails,asobi seksu,track,3.0,https://i.scdn.co/image/ab67616d0000485114ea4d03688a1001a3f2b9c5,2011.0,7.0
134,3DrgM5X3yX1JP1liNLAOHI,fAEAaIqEuVI,month of may / the suburbs,arcade fire,track,16.0,https://i.scdn.co/image/ab67616d00004851532391d63cfd6d32677f7af6,2010.0,7.0
135,4WgNZZI2BITexihFnMkHeH,U6Wxvlbu72c,self-titled,happy birthday,track,1.0,https://i.scdn.co/image/ab67616d00004851d850ff448d5ac5dd195df906,2016.0,6.0
136,2j0GggDDCSeY6vpccGLIq1,Gko3qhyrBAw,something for everybody,devo,album,15.0,https://i.scdn.co/image/ab67616d00004851fd435abfd3c16894763c37c0,2010.0,6.0
137,0m8wvW3WNm9D7J0KUlbf3h,wpzMfharbwE,record collection,mark ronson & the business intl.,album,14.0,https://i.scdn.co/image/ab67616d000048514e1ce5c19325a80d8300cb64,2010.0,5.0
138,37oEeZfUpmbYlJnORF36Zk,5QPBbc5PmAQ,illumination,miami horror,album,12.0,https://i.scdn.co/image/ab67616d00004851b16108afdbe9285b9eaa00e7,2010.0,7.0
139,,6Eiy1V32zws,you and i,washed out,track,-1.0,,-1.0,9.0
